LATITUDE,LONGITUDE,ACCIDENTDATE,YEAR,DAYOFWEEK,ACCIDENTTYPE,FEETFROMINTERSECTION,ROADSURFACE,ROADCONDITION,STREETLIGHT,LIGHTCONDITION,WEATHER,TRAFFICCONDITION
38.909959,-77.026749,18-Feb-15,2015,Wednesday,Injury,0,Asphalt,Wet,Street Lights Off,Daylight,Clear,Medium
38.86563,-76.959693,28-Jun-10,2010,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.936353,-77.024405,13-Apr-11,2011,Wednesday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.876413,-77.041179,5-Mar-14,2014,Wednesday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Clear,Heavy
38.911323,-77.036987,4-Jun-10,2010,Friday,Prop. Damage,10,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.913831,-77.017804,18-Nov-13,2013,Monday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.828934,-76.998207,9-Jan-15,2015,Friday,Prop. Damage,0,Asphalt,Dry,None,Daylight,Clear,Light
38.983145,-77.027216,16-May-10,2010,Sunday,Prop. Damage,250,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.957858,-77.016952,11-Dec-11,2011,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.91563,-77.00056,10-May-11,2011,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.899811,-77.028084,22-Jul-10,2010,Thursday,Prop. Damage,200,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.857433,-76.967957,13-Jan-13,2013,Sunday,Prop. Damage,0,Concrete,Wet,Street Lights On,Dark (Lighted),Fog/Mist,Light
38.84512,-76.997296,23-Apr-10,2010,Friday,Prop. Damage,0,Concrete,Dry,None,Daylight,Clear,Medium
38.874635,-76.968818,30-Jan-13,2013,Wednesday,Prop. Damage,60,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.908267,-77.040586,19-Apr-15,2015,Sunday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.911299,-77.050472,2-Jun-15,2015,Tuesday,Prop. Damage,10,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.94316,-77.06932,20-Jun-15,2015,Saturday,Injury,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.958918,-77.06724,4-Jan-12,2012,Wednesday,Prop. Damage,75,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.9107,-77.06916,14-Dec-13,2013,Saturday,Injury,20,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Medium
38.898101,-76.970536,1-Apr-15,2015,Wednesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.883609,-76.995289,14-Dec-13,2013,Saturday,Prop. Damage,40,Asphalt,Wet,Street Lights Off,Daylight,Rain,Light
38.89831,-77.03364,10-Jan-14,2014,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Medium
38.905646,-77.009088,30-Jun-11,2011,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Daylight,Clear,Light
38.95352,-77.011859,22-Oct-12,2012,Monday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.861933,-76.958996,28-Jun-14,2014,Saturday,Prop. Damage,0,Concrete,Dry,Street Lights Off,Daylight,Clear,Heavy
38.90497,-77.05706,20-Apr-11,2011,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.929211,-77.036468,1-Jun-11,2011,Wednesday,Injury,25,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.881675,-76.988114,23-Sep-14,2014,Tuesday,Injury,0, ,Dry,Street Lights Off,Daylight,Clear,Light
38.899811,-77.028084,9-Jun-11,2011,Thursday,Prop. Damage,120,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.956771,-77.008721,14-May-15,2015,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.921065,-77.011085,9-May-14,2014,Friday,Prop. Damage,0,Concrete,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.905611,-77.05547,5-May-14,2014,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.90724,-77.02599,17-Apr-14,2014,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.900414,-77.042029,1-Mar-13,2013,Friday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.901586,-77.038135,5-Jun-13,2013,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.883874,-76.986355,8-Nov-10,2010,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Other
38.944716,-77.005177,19-Nov-12,2012,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.903529,-77.024922,12-Sep-14,2014,Friday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.91344,-77.088248,15-Jul-14,2014,Tuesday,Prop. Damage,200,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.92869,-77.03648,3-Apr-12,2012,Tuesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.957287,-77.033507,22-Sep-11,2011,Thursday,Prop. Damage,30,Asphalt,Wet,Street Lights On,Dark (Lighted),Fog/Mist,Light
38.914872,-77.019099,4-Aug-10,2010,Wednesday,Prop. Damage,200,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.870864,-76.943401,6-Feb-11,2011,Sunday,Injury,100,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.934322,-77.024243,31-Aug-12,2012,Friday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.887423,-77.015141,30-Apr-10,2010,Friday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.89753,-77.050385,8-May-14,2014,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.943017,-76.985948,26-Mar-15,2015,Thursday,Prop. Damage,50,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.899047,-76.995006,6-Feb-12,2012,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.879348,-76.997126,12-Aug-14,2014,Tuesday,Injury,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.887655,-76.975384,21-Sep-11,2011,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Daylight,Clear,Medium
38.900509,-77.034065,21-Feb-11,2011,Monday,Prop. Damage,100,Asphalt,Wet,Unknown,Dusk,Rain,Heavy
38.877102,-76.990544,5-Jun-15,2015,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.87647,-77.00204,12-Jun-14,2014,Thursday,Injury,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Heavy
38.9014,-77.020529,21-Oct-13,2013,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.909788,-77.021978,22-Aug-11,2011,Monday,Injury,50,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.923915,-77.072886,1-Jul-12,2012,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.858027,-77.003788,3-Jun-11,2011,Friday,Injury,0,Gravel,Dry,Street Lights Off,Daylight,Clear,Heavy
38.933512,-77.05715,24-Mar-14,2014,Monday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.892,-76.99264,17-Jan-10,2010,Sunday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Light
38.904959,-76.948446,29-Mar-15,2015,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.90939,-77.04272,24-Oct-10,2010,Sunday,Prop. Damage,5,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.827189,-77.010161,6-Aug-14,2014,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.923187,-76.99281,12-Jan-15,2015,Monday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.89208,-77.023962,16-Nov-11,2011,Wednesday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.910198,-77.054008,6-May-13,2013,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.91759,-76.972315,29-Jul-11,2011,Friday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.899893,-77.019197,29-Apr-14,2014,Tuesday,Prop. Damage,10,Asphalt,Wet,Street Lights Off,Daylight,Rain,Light
38.88752,-77.030062,16-May-11,2011,Monday,Prop. Damage,40,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.878027,-77.040163,21-Jun-11,2011,Tuesday,Injury,100,Concrete,Dry,Street Lights Off,Daylight,Clear,Heavy
38.9199,-76.97901,31-Aug-14,2014,Sunday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.887523,-77.019006,20-Feb-10,2010,Saturday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.900421,-77.014497,1-May-14,2014,Thursday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.899402,-77.030527,22-Sep-14,2014,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.901131,-77.023245,10-Oct-12,2012,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Dark (Lighted),Clear,Light
38.828998,-76.99829,25-Sep-13,2013,Wednesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.855118,-76.96479,22-Oct-14,2014,Wednesday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.898398,-76.978485,24-May-15,2015,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.914352,-77.033264,28-Dec-14,2014,Sunday,Prop. Damage,20,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.95621,-77.0297,17-May-15,2015,Sunday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Other,Medium
38.912869,-77.038855,17-Apr-12,2012,Tuesday,Injury,0, ,Dry,Street Lights Off,Daylight,Clear,Medium
38.910199,-76.993824,6-Oct-11,2011,Thursday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.927036,-77.032742,24-Oct-11,2011,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.881191,-76.924728,8-Jan-11,2011,Saturday,Injury,300,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.955823,-77.008752,22-May-12,2012,Tuesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.91685,-77.00907,20-Nov-14,2014,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.922021,-76.988578,6-Nov-13,2013,Wednesday,Injury,0,Concrete,Dry,Street Lights Off,Daylight,Clear,Medium
38.89396,-77.02397,9-Apr-10,2010,Friday,Injury,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.920864,-77.000808,20-May-11,2011,Friday,Prop. Damage,150,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.917425,-76.979972,9-Feb-15,2015,Monday,Injury,0,Concrete,Wet,Unknown,Daylight,Clear,Heavy
38.93468,-77.057563,24-Dec-13,2013,Tuesday,Prop. Damage,0,Concrete,Dry,Street Lights Off,Daylight,Clear,Medium
38.965095,-77.00209,5-Oct-11,2011,Wednesday,Prop. Damage,50,Asphalt,Repairing,Street Lights Off,Daylight,Clear,Heavy
38.902167,-77.032409,5-Apr-15,2015,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.864058,-76.998261,9-Mar-15,2015,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.870788,-76.943567,1-Jun-12,2012,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.838036,-76.993477,25-Sep-11,2011,Sunday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.957839,-77.009382,12-Dec-11,2011,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.875895,-77.021675,14-Oct-13,2013,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.922568,-76.991194,2-Mar-13,2013,Saturday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.833488,-77.012854,5-May-14,2014,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.916983,-77.023961,21-Nov-11,2011,Monday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Medium
38.917223,-76.974189,27-Mar-15,2015,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Daylight,Rain,Heavy
38.9538,-77.009445,29-May-11,2011,Sunday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.912114,-77.012152,20-Oct-12,2012,Saturday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.910351,-77.043902,26-Apr-11,2011,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.864432,-76.946283,21-Apr-13,2013,Sunday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.947199,-77.008336,25-Jun-13,2013,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dusk,Clear,Medium
38.892269,-76.992134,13-Jun-12,2012,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.9168,-77.04165,30-May-15,2015,Saturday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.941887,-77.02552,16-Sep-13,2013,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.893253,-77.022105,10-Oct-12,2012,Wednesday,Prop. Damage,25,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.88967,-76.9375,30-Nov-10,2010,Tuesday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dawn,Rain,Heavy
38.90374,-77.02963,27-Dec-11,2011,Tuesday,Injury,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Light
38.90702,-77.03666,29-Aug-10,2010,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.89061,-76.989044,7-Feb-11,2011,Monday,Prop. Damage,90,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.880474,-76.935998,2-Apr-12,2012,Monday,Prop. Damage,50,Asphalt,Dry,Street Lights Off,Daylight,Clear,Other
38.905362,-77.063012,30-Apr-15,2015,Thursday,Prop. Damage,0,Asphalt,Wet,None,Daylight,Rain,Heavy
38.91073,-77.060027,23-Mar-15,2015,Monday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.946887,-77.09893,7-Mar-15,2015,Saturday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.908684,-76.977885,31-May-11,2011,Tuesday,Prop. Damage,25,Asphalt,Dry,None,Daylight,Clear,Heavy
38.907507,-77.037209,15-Sep-11,2011,Thursday,Prop. Damage,120,Asphalt,Wet,None,Dark (Not Lighted),Rain,Heavy
38.891527,-76.939206,5-Jan-13,2013,Saturday,Prop. Damage,0, ,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.858126,-76.969917,17-Mar-11,2011,Thursday,Prop. Damage,5,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.896412,-77.035088,19-Oct-12,2012,Friday,Prop. Damage,300,Concrete,Dry,Street Lights Off,Daylight,Clear,Light
38.91328,-77.015404,27-Jan-10,2010,Wednesday,Injury,80,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.907471,-77.009345,21-Oct-12,2012,Sunday,Prop. Damage,30,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.96235,-77.01071,20-Oct-12,2012,Saturday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Severe Crosswind,Light
38.89396,-77.02397,9-Feb-15,2015,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Daylight,Clear,Medium
38.860941,-76.96986,17-Jun-15,2015,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,7,Light
38.888688,-76.980779,27-Sep-14,2014,Saturday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.928393,-77.043235,22-Sep-12,2012,Saturday,Injury,0,Concrete,Dry,None,Daylight,Clear,Medium
38.917204,-77.024152,6-Dec-13,2013,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Clear,Light
38.833488,-77.012854,18-Jul-12,2012,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.942542,-77.103859,6-Mar-11,2011,Sunday,Injury,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.944031,-77.006685,24-Feb-10,2010,Wednesday,Prop. Damage,75,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.866345,-76.981812,17-Feb-12,2012,Friday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.900385,-77.01216,18-Jun-14,2014,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.9177,-76.971842,24-Dec-13,2013,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Heavy
38.878079,-77.039709,17-Mar-14,2014,Monday,Injury,0,Concrete,Snow,Street Lights Off,Dark (Lighted),Snow,Medium
38.900229,-77.020189,4-Jun-15,2015,Thursday,Injury,0,Asphalt,Wet,Street Lights Off,Dark (Not Lighted),Rain,Medium
38.927147,-77.035552,11-Mar-15,2015,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.879279,-76.992885,17-Apr-12,2012,Tuesday,Injury,0,Asphalt,Dry,None,Daylight,Clear,Heavy
38.913966,-77.067052,6-Aug-13,2013,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.9305,-77.007301,9-Apr-11,2011,Saturday,Injury,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Fog/Mist,Light
38.88628,-76.928689,15-Feb-11,2011,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.896085,-77.022096,18-Dec-12,2012,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.90145,-77.029728,3-Jun-11,2011,Friday,Prop. Damage,100,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.863209,-76.996338,27-Apr-11,2011,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.824069,-77.005984,21-Aug-14,2014,Thursday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.944225,-77.077988,6-Sep-11,2011,Tuesday,Injury,25,Asphalt,Dry,Street Lights Off,Daylight,Other,Medium
38.896467,-77.047046,29-Jan-15,2015,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.95777,-77.08473,12-Sep-13,2013,Thursday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Medium
38.889926,-77.014058,4-Apr-13,2013,Thursday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.895171,-77.024978,2-Apr-14,2014,Wednesday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.953691,-76.998338,26-Aug-14,2014,Tuesday,Injury,0,Asphalt,Dry,None,Daylight,Clear,Medium
38.911312,-77.049156,13-Mar-10,2010,Saturday,Prop. Damage,20,Concrete,Wet,Street Lights Off,Daylight,Rain,Light
38.88299,-76.97898,30-Mar-15,2015,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.934322,-77.024243,3-Apr-15,2015,Friday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Rain,Heavy
38.912755,-77.043682,3-Aug-12,2012,Friday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.907192,-77.036871,12-Mar-12,2012,Monday,Prop. Damage,0,Concrete,Dry,Street Lights Off,Daylight,Clear,Medium
38.925048,-76.985298,8-Sep-10,2010,Wednesday,Injury,2,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.960998,-77.027034,19-Mar-14,2014,Wednesday,Prop. Damage,-50,Asphalt,Wet,None,Daylight,Rain,Heavy
38.955467,-77.01049,16-Feb-15,2015,Monday,Prop. Damage,75, ,Snow,Street Lights On,Dark (Lighted),Snow,Medium
38.844122,-76.974923,18-Nov-13,2013,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.863102,-76.999283,10-Jun-11,2011,Friday,Prop. Damage,100,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.880673,-77.030805,31-Aug-11,2011,Wednesday,Prop. Damage,0,Asphalt,Dry,None,Daylight,Clear,Heavy
38.894664,-77.044189,13-May-11,2011,Friday,Prop. Damage,50,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.910984,-77.029953,1-Jun-15,2015,Monday,Prop. Damage,60,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.901137,-76.919946,25-Sep-14,2014,Thursday,Injury,0,Asphalt,Wet,Street Lights Off,Other,Rain,Light
38.900358,-77.056146,25-Mar-14,2014,Tuesday,Prop. Damage,0,Asphalt,Wet,Street Lights Off,Daylight,Snow,Medium
38.853336,-76.983301,7-Aug-13,2013,Wednesday,Prop. Damage,0, ,Dry,Street Lights Off,Daylight,Clear,Medium
38.90265,-77.04665,10-Apr-13,2013,Wednesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.888674,-76.980764,17-Mar-13,2013,Sunday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Light
38.877514,-76.979299,23-Dec-11,2011,Friday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.905658,-77.041128,23-Mar-12,2012,Friday,Injury,0,Asphalt,Dry,Unknown,Dark (Unknown Lighting),Clear,Medium
38.917457,-76.972352,16-May-14,2014,Friday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.909496,-77.0445,28-Jan-12,2012,Saturday,Prop. Damage,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.90252,-77.05525,9-Nov-10,2010,Tuesday,Injury,0,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.957211,-77.084351,26-Oct-14,2014,Sunday,Injury,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.845156,-77.007189,26-Oct-13,2013,Saturday,Prop. Damage,0,Concrete,Dry,Street Lights On,Dark (Lighted),Clear,Medium
38.941643,-77.077454,14-Jan-10,2010,Thursday,Prop. Damage,20,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
38.90015,-76.98336,10-Mar-14,2014,Monday,Prop. Damage,0,Asphalt,Dry,None,Daylight,Clear,Heavy
38.933351,-76.995461,7-Dec-13,2013,Saturday,Prop. Damage,0,Asphalt,Wet,Street Lights On,Dark (Lighted),Rain,Light
38.928951,-77.026356,6-Apr-10,2010,Tuesday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.816412,-77.024757,1-Mar-10,2010,Monday,Injury,600,Asphalt,Dry,None,Daylight,Clear,Light
38.87388,-76.971198,27-Dec-10,2010,Monday,Prop. Damage,40,Asphalt,Dry,Street Lights On,Dark (Lighted),Clear,Light
38.898447,-77.041759,3-Aug-11,2011,Wednesday,Prop. Damage,50,Asphalt,Wet,Street Lights Off,Daylight,Rain,Medium
38.883947,-76.983447,1-Aug-13,2013,Thursday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Medium
38.903496,-77.02843,13-Apr-15,2015,Monday,Prop. Damage,0,Asphalt,Dry,Street Lights Off,Daylight,Clear,Heavy
